Step,AgentID,FloodDamageEstimated,IsAdapted,FriendsCount,belief,Stubornness,Friends
0,0,0.7378774960055131,False,3,0.7378774960055131,4,
0,1,0.540873234376262,False,3,0.540873234376262,4,
0,2,0.6649439426554884,False,5,0.6649439426554884,1,
0,3,0.4396727459691474,False,4,0.4396727459691474,4,
0,4,0.0,False,3,0.0,3,
0,5,0.48892467303615195,False,3,0.48892467303615195,2,
0,6,0.0,False,3,0.0,4,
0,7,0.35046939112207554,False,6,0.35046939112207554,1,
0,8,0.45990268730614514,False,5,0.45990268730614514,4,
0,9,0.5014008359681293,False,5,0.5014008359681293,4,
0,10,0.41561389896693895,False,3,0.41561389896693895,2,
0,11,0.0,False,6,0.0,2,
0,12,0.9544617994677029,False,4,0.9544617994677029,4,
0,13,0.6309116072571664,False,3,0.6309116072571664,4,
0,14,0.4533912821895797,False,5,0.4533912821895797,4,
0,15,0.0,False,4,0.0,3,
0,16,0.854598791102104,False,3,0.854598791102104,3,
0,17,0.8812278935564415,False,4,0.8812278935564415,1,
0,18,0.49742889631493115,False,3,0.49742889631493115,4,
0,19,0.4070583920849874,False,3,0.4070583920849874,3,
0,20,0.8617812811084906,False,3,0.8617812811084906,3,
0,21,0.5782789392377216,False,5,0.5782789392377216,2,
0,22,0.618622208063434,False,3,0.618622208063434,4,
0,23,0.6538225075430639,False,6,0.6538225075430639,4,
0,24,0.3721945353520828,False,6,0.3721945353520828,4,
0,25,0.0,False,4,0.0,2,
0,26,0.43206660443849854,False,4,0.43206660443849854,3,
0,27,0.0,False,3,0.0,3,
0,28,0.5079949890488851,False,5,0.5079949890488851,2,
0,29,0.0,False,6,0.0,2,
0,30,0.7464134037385155,False,3,0.7464134037385155,1,
0,31,0.0,False,4,0.0,1,
0,32,0.8899732769152223,False,5,0.8899732769152223,3,
0,33,0.0,False,3,0.0,4,
0,34,0.344195505790037,False,3,0.344195505790037,1,
0,35,0.0,False,4,0.0,2,
0,36,1.0,False,5,1.0,4,
0,37,0.8172065990323201,False,4,0.8172065990323201,4,
0,38,0.7084592993380032,False,5,0.7084592993380032,2,
0,39,0.5164143356527653,False,5,0.5164143356527653,1,
0,40,0.5372628181586248,False,2,0.5372628181586248,4,
0,41,0.6101049058734327,False,3,0.6101049058734327,2,
0,42,0.49091770975788773,False,3,0.49091770975788773,3,
0,43,0.7643012331401187,False,5,0.7643012331401187,4,
0,44,0.0,False,3,0.0,1,
0,45,0.34832200764502136,False,3,0.34832200764502136,3,
0,46,0.6252846926806552,False,4,0.6252846926806552,4,
0,47,0.6225391968483914,False,5,0.6225391968483914,4,
0,48,0.6085771841113498,False,4,0.6085771841113498,3,
0,49,0.568012779872437,False,4,0.568012779872437,2,
1,0,0.7378774960055131,True,3,0.6596667722609398,4,
1,1,0.540873234376262,True,3,0.5423800524867236,4,
1,2,0.6649439426554884,True,5,0.56698506170978,1,
1,3,0.4396727459691474,False,4,0.41625747838821864,4,
1,4,0.0,False,3,0.149695148577583,3,
1,5,0.48892467303615195,False,3,0.373146404772791,2,
1,6,0.0,False,3,0.09855110533780512,4,
1,7,0.35046939112207554,True,6,0.5392614249139837,1,
1,8,0.45990268730614514,False,5,0.34593310924310144,4,
1,9,0.5014008359681293,False,5,0.4301973128817749,4,
1,10,0.41561389896693895,False,3,0.28020831704691995,2,
1,11,0.0,False,6,0.4101671102240091,2,
1,12,0.9544617994677029,True,4,0.8897517610255956,4,
1,13,0.6309116072571664,True,3,0.6105943990751138,4,
1,14,0.4533912821895797,True,5,0.5593513860753022,4,
1,15,0.0,False,4,0.34443044878813767,3,
1,16,0.854598791102104,True,3,0.8556710579854127,3,
1,17,0.8812278935564415,True,4,0.5212383219746236,1,
1,18,0.49742889631493115,True,3,0.5385026924685712,4,
1,19,0.4070583920849874,False,3,0.3415221498767856,3,
1,20,0.8617812811084906,True,3,0.7445041268943485,3,
1,21,0.5782789392377216,True,5,0.5423172281785907,2,
1,22,0.618622208063434,True,3,0.5693199823145465,4,
1,23,0.6538225075430639,True,6,0.5642510369543843,4,
1,24,0.3721945353520828,False,6,0.3559112148415648,4,
1,25,0.0,False,4,0.3071524775137362,2,
1,26,0.43206660443849854,False,4,0.35429159388159626,3,
1,27,0.0,False,3,0.1329117925845411,3,
1,28,0.5079949890488851,False,5,0.3300941737005984,2,
1,29,0.0,False,6,0.22549880919674856,2,
1,30,0.7464134037385155,True,3,0.596183908362888,1,
1,31,0.0,False,4,0.3636164684990621,1,
1,32,0.8899732769152223,True,5,0.795483425449406,3,
1,33,0.0,False,3,0.0,4,
1,34,0.344195505790037,False,3,0.48297782372013714,1,
1,35,0.0,False,4,0.08946630205641797,2,
1,36,1.0,True,5,0.9017050507024184,4,
1,37,0.8172065990323201,True,4,0.7947918815399162,4,
1,38,0.7084592993380032,True,5,0.7178193915658581,2,
1,39,0.5164143356527653,True,5,0.5023162533914184,1,
1,40,0.5372628181586248,True,2,0.5279937964784773,4,
1,41,0.6101049058734327,True,3,0.5972774983382225,2,
1,42,0.49091770975788773,False,3,0.4859221828244007,3,
1,43,0.7643012331401187,True,5,0.6672770998643538,4,
1,44,0.0,False,3,0.07602422425559101,1,
1,45,0.34832200764502136,False,3,0.42317992518250375,3,
1,46,0.6252846926806552,True,4,0.6453995323594425,4,
1,47,0.6225391968483914,True,5,0.5866057760933254,4,
1,48,0.6085771841113498,True,4,0.6327856103302152,3,
1,49,0.568012779872437,True,4,0.6045759334365991,2,
2,0,0.7378774960055131,True,3,0.6119886472718962,4,
2,1,0.540873234376262,True,3,0.5230635906215713,4,
2,2,0.6649439426554884,True,5,0.5115487697801734,1,
2,3,0.4396727459691474,False,4,0.42067654875433186,4,
2,4,0.0,False,3,0.2457126098433703,3,
2,5,0.48892467303615195,False,3,0.35287475156397313,2,
2,6,0.0,False,3,0.1562899026134963,4,
2,7,0.35046939112207554,True,6,0.5236885679457057,1,
2,8,0.45990268730614514,False,5,0.3495888606044036,4,
2,9,0.5014008359681293,False,5,0.40454267920377573,4,
2,10,0.41561389896693895,False,3,0.35023380263698684,2,
2,11,0.0,False,6,0.4272751033607668,2,
2,12,0.9544617994677029,True,4,0.8334981649534294,4,
2,13,0.6309116072571664,True,3,0.6134241675481994,4,
